plaintext_url,title,author,reading_level,ebook_no,language,most_recently_updated,book_page_url
https://books.flotwiskunde.nl/ebooks/books/45.txt,Anne of Green Gables by L. M. Montgomery,"Montgomery, L. M. (Lucy Maud), 1874-1942",Reading ease score: 81.8 (6th grade). Easy to read.,45,English,"Apr 29, 2025",https://books.flotwiskunde.nl/ebooks/45
https://books.flotwiskunde.nl/ebooks/books/3296.txt,The Confessions of St. Augustine by Saint of Hippo Augustine,"Augustine, of Hippo, Saint, 354-430",Reading ease score: 65.9 (8th & 9th grade). Neither easy nor difficult to read.,3296,English,"May 5, 2023",https://books.flotwiskunde.nl/ebooks/3296
https://books.flotwiskunde.nl/ebooks/books/120.txt,Treasure Island by Robert Louis Stevenson,"Stevenson, Robert Louis, 1850-1894",Reading ease score: 86.2 (6th grade). Easy to read.,120,English,"Apr 1, 2025",https://books.flotwiskunde.nl/ebooks/120
https://books.flotwiskunde.nl/ebooks/books/45109.txt,The Enchiridion by Epictetus,"Epictetus, 55-135",Reading ease score: 70.0 (7th grade). Fairly easy to read.,45109,English,"Oct 24, 2024",https://books.flotwiskunde.nl/ebooks/45109
https://books.flotwiskunde.nl/ebooks/books/7370.txt,Second Treatise of Government by John Locke,"Locke, John, 1632-1704",Reading ease score: 33.4 (College-level). Difficult to read.,7370,English,"Dec 25, 2021",https://books.flotwiskunde.nl/ebooks/7370
https://books.flotwiskunde.nl/ebooks/books/27673.txt,Oedipus King of Thebes by Sophocles,"Sophocles, 496? BCE-407 BCE",Reading ease score: 91.3 (5th grade). Very easy to read.,27673,English,"Jan 4, 2021",https://books.flotwiskunde.nl/ebooks/27673
https://books.flotwiskunde.nl/ebooks/books/1727.txt,The Odyssey by Homer,"Homer, 751? BCE-651? BCE",Reading ease score: 75.5 (7th grade). Fairly easy to read.,1727,English,"Dec 2, 2023",https://books.flotwiskunde.nl/ebooks/1727
,Tractatus Logico-Philosophicus by Ludwig Wittgenstein,"Wittgenstein, Ludwig, 1889-1951",,5740,English,"May 31, 2025",https://books.flotwiskunde.nl/ebooks/5740
https://books.flotwiskunde.nl/ebooks/books/2680.txt,Meditations by Emperor of Rome Marcus Aurelius,"Marcus Aurelius, Emperor of Rome, 121-180",Reading ease score: 62.7 (8th & 9th grade). Neither easy nor difficult to read.,2680,English,"Mar 9, 2021",https://books.flotwiskunde.nl/ebooks/2680
https://books.flotwiskunde.nl/ebooks/books/55.txt,The Wonderful Wizard of Oz by L. Frank Baum,"Baum, L. Frank (Lyman Frank), 1856-1919",Reading ease score: 86.6 (6th grade). Easy to read.,55,English,"Dec 29, 2024",https://books.flotwiskunde.nl/ebooks/55
https://books.flotwiskunde.nl/ebooks/books/1497.txt,The Republic by Plato,"Plato, 428? BCE-348? BCE",Reading ease score: 61.1 (8th & 9th grade). Neither easy nor difficult to read.,1497,English,"Sep 11, 2021",https://books.flotwiskunde.nl/ebooks/1497
https://books.flotwiskunde.nl/ebooks/books/408.txt,The Souls of Black Folk by W. E. B. Du Bois,"Du Bois, W. E. B. (William Edward Burghardt), 1868-1963",Reading ease score: 62.0 (8th & 9th grade). Neither easy nor difficult to read.,408,English,"Aug 11, 2021",https://books.flotwiskunde.nl/ebooks/408
https://books.flotwiskunde.nl/ebooks/books/1399.txt,Anna Karenina by graf Leo Tolstoy,"Tolstoy, Leo, graf, 1828-1910",Reading ease score: 79.4 (7th grade). Fairly easy to read.,1399,English,"Mar 24, 2025",https://books.flotwiskunde.nl/ebooks/1399
https://books.flotwiskunde.nl/ebooks/books/7290.txt,"éè©©å¤å³, Complete by active 150 B.C. Ying Han","Han, Ying, active 150 B.C.",,7290,Chinese,"Dec 30, 2020",https://books.flotwiskunde.nl/ebooks/7290
https://books.flotwiskunde.nl/ebooks/books/25162.txt,æ± åå¶è« by Shizhen Wang,"Wang, Shizhen, 1634-1711",,25162,Chinese,,https://books.flotwiskunde.nl/ebooks/25162
https://books.flotwiskunde.nl/ebooks/books/8800.txt,The divine comedy by Dante Alighieri,"Dante Alighieri, 1265-1321",Reading ease score: 71.4 (7th grade). Fairly easy to read.,8800,English,"Jan 15, 2023",https://books.flotwiskunde.nl/ebooks/8800
https://books.flotwiskunde.nl/ebooks/books/23.txt,"Narrative of the Life of Frederick Douglass, an American Slave by Douglass","Douglass, Frederick, 1818-1895",Reading ease score: 76.9 (7th grade). Fairly easy to read.,23,English,"Jul 17, 2025",https://books.flotwiskunde.nl/ebooks/23
https://books.flotwiskunde.nl/ebooks/books/16119.txt,Doctrina Christiana by Edwin Wolf,,Reading ease score: 72.7 (7th grade). Fairly easy to read.,16119,Tagalog,"Jan 1, 2021",https://books.flotwiskunde.nl/ebooks/16119
https://books.flotwiskunde.nl/ebooks/books/72679.txt,"The lesser Key of Solomon, Goetia, the book of evil spirits :  contains twoâ¦",,Reading ease score: 69.4 (8th & 9th grade). Neither easy nor difficult to read.,72679,English,,https://books.flotwiskunde.nl/ebooks/72679
https://books.flotwiskunde.nl/ebooks/books/2148.txt,The Works of Edgar Allan Poe â Volume 2 by Edgar Allan Poe,"Poe, Edgar Allan, 1809-1849",Reading ease score: 65.0 (8th & 9th grade). Neither easy nor difficult to read.,2148,English,"Nov 28, 2025",https://books.flotwiskunde.nl/ebooks/2148
https://books.flotwiskunde.nl/ebooks/books/13240.txt,A Short Biographical Dictionary of English Literature by John W. Cousin,"Cousin, John W. (John William), 1849-1910",Reading ease score: 66.2 (8th & 9th grade). Neither easy nor difficult to read.,13240,English,"Oct 28, 2024",https://books.flotwiskunde.nl/ebooks/13240
